rank,npi,name,state,total_impact,confidence,num_methods,primary_method,actionable_notes
355,1992092274,PERSPECTIVES CORPORATION,RI,103300435.62,high,5,gev_extreme_value,High confidence; 3+ independent signals
356,1407244304,"INTEGRATED COMMUNITY SERVICES, INC.",DC,102719809.11,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
357,1093789901,"MEDCO RESPIRATORY INSTRUMENTS, INC.",TX,102696300.63,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
358,1700960580,"DISABILITY SERVICES OF THE SOUTHWEST, INC",TX,102678987.65,high,3,iqr_outlier,High confidence; 3+ independent signals
359,1609953066,PEDS TO GO INC,FL,102602699.45,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
360,1467538520,BAKERSFIELD MEMORIAL HOSPITAL,CA,102451107.63,high,3,upcoding,High confidence; 3+ independent signals; Implausible volume or upcoding signal
361,1114057163,"CHAPA-DE INDIAN HEALTH PROGRAM, INC.",CA,102417265.67,high,5,iqr_outlier,High confidence; 3+ independent signals
362,1932652815,"MARICOPA AMBULANCE, LLC",AZ,102094933.25,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
363,1184878274,"AHAVA MEDICAL AND REHABILITATION CENTER, LLC",NY,101852287.31,high,8,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
364,1154786846,NEIGHBORHOOD HEALTHCARE,CA,101782810.54,high,7,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
365,1104819366,CHILDREN'S HOSPITAL,LA,101540102.88,high,7,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
366,1548378235,MEDSTAR WASHINGTON HOSPITAL CENTER,DC,101500590.84,high,6,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
367,1619148277,"NFI NORTH, INC",NH,101360766.99,medium,2,gev_extreme_value,Statistical outlier vs peers
368,1457321317,PALOMAR HEALTH,CA,101279412.62,medium,2,iqr_outlier,Statistical outlier vs peers
369,1972655991,MOSAIC,IA,101139076.30,high,6,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
370,1568442309,THE COOPER HEALTH SYSTEM,NJ,101004597.00,high,4,iqr_outlier,High confidence; 3+ independent signals
371,1538195912,NORTH MEMORIAL HEALTH CARE,MN,100876292.53,high,3,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
372,1649495110,"WAYPOINT MAINE, INC.",ME,100810737.72,low,1,gev_extreme_value,Statistical outlier vs peers
373,1942256888,HOLZER HOSPITAL FOUNDATION,OH,100625523.28,high,5,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
374,1043622780,GATEWAY PEDIATRIC THERAPY LLC,MI,100475151.59,high,3,iqr_outlier,High confidence; 3+ independent signals
375,1124155825,PIONEER HOMECARE INC.,NY,100368060.47,high,3,iqr_outlier,High confidence; 3+ independent signals
376,1043224355,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,NY,100363318.66,high,9,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern; Public entity; policy review likely
377,1700887411,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,NY,100322526.38,high,7,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
378,1801270137,SAC HEALTH SYSTEM,CA,100175648.06,high,7,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
379,1891989794,RESOURCE CENTER FOR INDEPENDENT LIVING,NY,99524803.05,high,4,gev_extreme_value,High confidence; 3+ independent signals
380,1366519431,M A C T HEALTH BOARD INCORPORATED,CA,99332437.92,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
381,1265782395,DIVERSIFIED ASSESSMENT & THERAPY SERVICES,WV,99296304.93,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
382,1346330610,"UNITED MEDICAL IMAGING HEALTHCARE, INC.",CA,99190979.61,high,6,change_point_cusum,High confidence; 3+ independent signals; Sudden growth or stop pattern
383,1336435031,WEST BAY RESIDENTIAL SERVICES INC.,RI,99124053.85,high,4,gev_extreme_value,High confidence; 3+ independent signals
384,1821036807,"LENOX HILL RADIOLOGY & MEDICAL IMAGING ASSOCIATES, PC",NY,99118796.93,high,4,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
385,1912976408,"PLANNED PARENTHOOD/ORANGE AND SAN BERNARDINO COUNTIES, INC.",CA,98893348.32,high,6,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern
386,1730438706,HUMAN CARE LLC,NY,98749168.24,high,6,no_days_off,High confidence; 3+ independent signals; Billed every day; Sudden growth or stop pattern
387,1336238237,MERIDIAN SERVICES,IN,98604892.96,high,4,new_relationship_high_volume,High confidence; 3+ independent signals
388,1679504864,KENNEBEC VALLEY MENTAL HEALTH CENTER,ME,98505983.93,high,3,iqr_outlier,High confidence; 3+ independent signals
389,1831363324,LIFE PATTERNS,KS,98414095.78,high,5,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
390,1659406296,VERMONT DEPARTMENT OF MENTAL HEALTH,VT,98106793.38,high,5,change_point_cusum,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
391,1710918545,REGENTS OF THE UNIVERSITY OF CALIFORNIA,CA,98099463.27,high,4,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Public entity; policy review likely
392,1861675506,TEXAS CHILDREN'S PHYSICIAN GROUP,TX,98034911.84,high,9,isolation_forest,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
393,1649259797,APPLE HOMECARE MEDICAL SUPPLY LLC,TX,97930369.39,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
394,1295994804,SPURWINK SERVICES,ME,97439457.62,medium,2,zscore_paid_per_bene,Statistical outlier vs peers
395,1699782722,AEGIS SCIENCES CORPORATION,TN,97247151.09,high,4,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern
396,1427246669,"NATIONAL MENTOR SERVICES, LLC",MO,96872098.73,high,4,iqr_outlier,High confidence; 3+ independent signals
397,1396728630,SHARP CHULA VISTA MEDICAL CENTER,CA,96810740.52,medium,2,iqr_outlier,Statistical outlier vs peers
398,1588937486,"NATIONAL MENTOR HEALTHCARE, LLC",DE,96511313.77,high,4,gev_extreme_value,High confidence; 3+ independent signals
399,1104202761,VANDERBILT UNIVERSITY MEDICAL CENTER,TN,96453206.49,high,5,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern; Public entity; policy review likely
400,1689744450,"ARTHUR M. BLANK HOSPITAL, INC.",GA,95955905.20,high,9,captive_servicing,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
401,1306878798,"ACT HOME HEALTH SERVICES, INC",PA,95768236.72,high,8,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
402,1447457148,FOUNDATION FOR THE ELDERLY,NY,95594178.39,high,5,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
403,1215003603,"GENOMIC HEALTH, INC.",CA,95450737.29,high,3,code_concentration_per_provider,High confidence; 3+ independent signals; Sudden growth or stop pattern
404,1659424448,HAMPTON NEWPORT NEWS COMMUNITY SERVICES BOARD,VA,95339343.92,high,3,iqr_outlier,High confidence; 3+ independent signals
405,1780708263,NORTHWESTERN COUNSELING & SUPPORT SERVICES,VT,94979727.54,medium,2,iqr_outlier,Statistical outlier vs peers
406,1386746592,KENNEDY UNIVERSITY HOSPITAL INC.,NJ,94973572.52,high,3,iqr_outlier,High confidence; 3+ independent signals; Public entity; policy review likely
407,1629080254,D & D SERVICES INC,OK,94350872.41,medium,2,gev_extreme_value,Statistical outlier vs peers
408,1124595764,"SAFE RESIDENTIAL CARE, LLC",ME,94230115.61,high,6,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
409,1093787095,"JUSTICE RESOURCE INSTITUTE, INC",MA,94133233.94,medium,2,iqr_outlier,Statistical outlier vs peers
410,1942217054,RUTGERS HEALTH - UNIVERSITY BEHAVIORAL HEALTH CARE,NJ,94132883.44,low,1,gev_extreme_value,Public entity; policy review likely
411,1861554438,"UNIVERSITY MEDICAL CENTER, INC",KY,94092065.21,high,3,iqr_outlier,High confidence; 3+ independent signals; Public entity; policy review likely
412,1952690463,"BARRIO COMPREHENSIVE FAMILY HEALTH CARE CENTER, INC.",TX,94039552.23,high,6,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
413,1063567691,YUKON-KUSKOKWIM HEALTH CORPORATION,AK,93842264.95,high,4,iqr_outlier,High confidence; 3+ independent signals
414,1003914946,COUNTY OF MUSKEGON,MI,93766149.23,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
415,1528105558,COUNTY OF TULARE,CA,93429629.46,high,8,upcoding,High confidence; 3+ independent signals; Implausible volume or upcoding signal; Sudden growth or stop pattern; Public entity; policy review likely
416,1043243538,AMERICAN MEDICAL RESPONSE OF CONNECTICUT INCORPORATED,CT,93128284.44,high,3,kmeans,High confidence; 3+ independent signals
417,1427070168,COUNTY OF LOS ANGELES,CA,93099643.21,high,5,code_concentration_per_provider,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
418,1871651588,"SOUTH SHORE HOME HEALTH SERVICE, INC.",NY,93068755.73,high,5,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
419,1407839921,SHARP MEMORIAL HOSPITAL,CA,92849861.68,high,3,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
420,1235148594,"IHC HEALTH SERVICES, INC.",UT,92822802.23,high,3,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
421,1588744015,"LOUISIANA UNITED METHODIST CHILDREN & FAMILY SERVICES, INC",LA,92648126.95,medium,2,code_concentration_per_provider,Statistical outlier vs peers
422,1114052057,"KYPPEC,INC",KY,92628812.29,low,1,gev_extreme_value,Statistical outlier vs peers
423,1497014252,ADVANTAGE MANAGEMENT ASSOCIATES INC.,NY,92381280.67,high,6,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
424,1700012101,FRONTLINE COMMUNITY SERVICES,MD,92265089.16,high,3,zscore_paid_per_bene,High confidence; 3+ independent signals; Sudden growth or stop pattern
425,1265820179,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS LLC,AZ,92231606.91,medium,2,iqr_outlier,Public entity; policy review likely
426,1245370808,"COVENANT CARE SERVICES, LLC",MO,92164356.66,medium,2,gev_extreme_value,Sudden growth or stop pattern
427,1427131424,"TACTILE SYSTEMS TECHNOLOGY, INC",MN,91975314.43,high,3,hhi_per_code,High confidence; 3+ independent signals; Sudden growth or stop pattern
428,1972598449,COUNTY OF SANTA CLARA,CA,91810177.97,high,6,gev_extreme_value,High confidence; 3+ independent signals; Network or middleman billing pattern; Public entity; policy review likely
429,1831236009,DEVELOPMENTAL DISABILITIES CENTER,CO,91735393.87,medium,2,gev_extreme_value,Statistical outlier vs peers
430,1174758478,INTELLICHOICE STAFFING LLC,NC,91682910.19,high,3,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
431,1992012306,ROLLING HILLS CLINIC,CA,91436461.91,high,5,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
432,1184791998,BAY AREA COMMUNITY HEALTH,CA,91363089.93,high,7,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
433,1578554630,SUNY HEALTH SCIENCE CENTER AT SYRACUSE,NY,91194311.35,high,7,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
434,1255468435,CITY OF PHILADELPHIA,PA,91133713.51,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern; Public entity; policy review likely
435,1841476009,INFINITI HOME CARE INC,NY,90916429.34,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
436,1649833286,LIFETREE INC.,AZ,90807059.49,high,4,change_point_cusum,High confidence; 3+ independent signals; Sudden growth or stop pattern
437,1043554348,GENESEE HEALTH SYSTEM,MI,90513514.61,high,4,iqr_outlier,High confidence; 3+ independent signals
438,1528423589,"RESCARE ARIZONA, INC.",AZ,90473044.39,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
439,1396812897,"ASTROCARE CLASS, INC.",TX,90350966.56,high,4,iqr_outlier,High confidence; 3+ independent signals
440,1922141167,"MALVERN INSTITUTE FOR PSYCHIATRIC AND ALCOHOLIC STUDIES, INC.",PA,90242291.48,high,3,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
441,1992863583,"COMMUNITY SYSTEMS, INC.",DE,90165494.83,high,7,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
442,1518094176,EASY LIVING INC.,MO,89669485.78,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
443,1245520386,THE NEMOURS FOUNDATION,FL,89366060.48,high,6,change_point_cusum,High confidence; 3+ independent signals; Sudden growth or stop pattern
444,1376598326,ENT AND ALLERGY ASSOCIATES LLP,NY,89340394.04,high,4,billing_fan_out,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
445,1851569834,NORMAL LIFE OF GEORGIA,GA,88891527.49,high,4,gev_extreme_value,High confidence; 3+ independent signals
446,1902341050,NEMO HOME CARE,NY,88760471.12,high,8,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
447,1972545945,FOUR COUNTY COMPREHENSIVE MENTAL HEALTH CENTER INC,IN,88648313.17,medium,2,iqr_outlier,Public entity; policy review likely
448,1265462659,PALMETTO INFUSION SERVICES LLC,SC,88529432.88,high,3,pharmacy_rate_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
449,1336234194,APRIA HEALTHCARE LLC,IN,88518959.72,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
450,1487187704,"YOUTH OPPORTUNITY INVESTMENTS, LLC",TX,88394014.72,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
451,1831151455,"UMASS MEMORIAL MEDICAL CENTER, INC.",MA,88332724.35,high,6,upcoding,High confidence; 3+ independent signals; Implausible volume or upcoding signal
452,1720011810,BANNER DESERT MEDICAL CENTER,AZ,88298409.17,high,4,iqr_outlier,High confidence; 3+ independent signals
453,1417027558,BRONXCARE HEALTH SYSTEM,NY,88133136.39,high,5,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
454,1467536276,SEATTLE CHILDREN'S HOSPITAL,WA,88079081.84,high,5,iqr_outlier,High confidence; 3+ independent signals
455,1720125115,"NORTH METRO COMMUNITY SERVICES, INC.",CO,88064060.66,medium,2,gev_extreme_value,Statistical outlier vs peers
456,1700099959,"NATIONAL CHILDREN'S CENTER, INC.",DC,88013584.61,low,1,gev_extreme_value,Statistical outlier vs peers
457,1639132442,COUNTY OF WASHTENAW,MI,87693749.89,high,4,iqr_outlier,High confidence; 3+ independent signals; Public entity; policy review likely
458,1336467166,"ALAMO CONSUMER DIRECT, LLC",TX,87645995.96,high,6,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
459,1003961251,CHILDREN'S HOSPITAL & RESEARCH CENTER AT OAKLAND,CA,87312212.37,high,5,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern
460,1821103821,"TRILOGY, INC.",IL,87054246.34,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
461,1407932775,COMPREHAB LLC,NC,86845335.28,high,5,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
462,1518406636,GENTECH LABORATORIES LLC,TX,86758448.28,high,3,change_point_cusum,High confidence; 3+ independent signals; Sudden growth or stop pattern
463,1639131436,FALCK MOBILE HEALTH CORP,CA,86612993.79,high,3,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
464,1548507296,CONNECT HOME HEALTH LLC,TX,86610636.23,high,5,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
465,1902999022,SATE OF ALABAMA DEPT OF FINANCE,AL,86348819.55,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
466,1912021452,"RESCARE, INC",IA,86279114.79,high,5,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern
467,1619987302,UAHSF NEONATOLOGY,AL,86261211.73,low,1,gev_extreme_value,Statistical outlier vs peers
468,1235569112,REM EAST LLC,MS,86228428.67,medium,2,gev_extreme_value,Sudden growth or stop pattern
469,1912510041,"RWJBH EMERGENCY MEDICINE ASSOCIATES, LLC",NJ,86003428.24,high,4,gev_extreme_value,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
470,1730466590,"PRECISION TOXICOLOGY, LLC",CA,85761297.29,medium,2,iqr_outlier,Statistical outlier vs peers
471,1780806828,ST. JOHN'S COMMUNITY SERVICES-DC,DC,85747818.75,low,1,gev_extreme_value,Statistical outlier vs peers
472,1972579837,WAKEMED,NC,85584404.47,high,5,iqr_outlier,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
473,1790994952,"STELLA ORTON HOME CARE AGENCY, INC.",NY,85352876.00,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
474,1386854370,ARIZONA CONSUMER DIRECT PERSONAL CARE,AZ,85083068.89,high,3,gev_extreme_value,High confidence; 3+ independent signals
475,1134377781,EUROFINS DIATHERIX LABORATORIES LLC,AL,84996845.90,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
476,1124236724,PEABODY RESIDENT SERVICES INC,MA,84730408.83,medium,2,gev_extreme_value,Statistical outlier vs peers
477,1235125055,CUMBERLAND MOUNTAIN COMMUNITY SERVICES,VA,84604435.52,high,4,gev_extreme_value,High confidence; 3+ independent signals
478,1235574617,KELSCH ASSOCIATES,NJ,84533760.33,high,7,code_concentration_per_provider,High confidence; 3+ independent signals; Sudden growth or stop pattern
479,1326657602,"COMMUNITY LIVING SERVICES, INC",ND,84399919.11,low,1,gev_extreme_value,Statistical outlier vs peers
480,1275683260,SOUTHEAST KANSAS INDEPENDENT LIVING RESOURCE CENTER INC,KS,84349927.98,high,4,iqr_outlier,High confidence; 3+ independent signals
481,1790735827,"TEXAS VISITING NURSE SERVICE, LTD.",TX,84348793.62,high,4,iqr_outlier,High confidence; 3+ independent signals; Sudden growth or stop pattern
482,1366527111,"CAPITAL CARE, INC",MD,84307791.40,low,1,gev_extreme_value,Statistical outlier vs peers
483,1285006379,WIND RIVER FAMILY & COMMUNITY HEALTHC CARE,WY,83984801.17,high,7,code_concentration_per_provider,High confidence; 3+ independent signals; Sudden growth or stop pattern
484,1003813718,"SEASONS HOSPICE & PALLIATIVE CARE OF MARYLAND, LLC",MD,83685745.39,high,3,gev_extreme_value,High confidence; 3+ independent signals
485,1447335930,STATE OF ALABAMA DEPT OF FINANCE,AL,83585031.46,medium,2,gev_extreme_value,Public entity; policy review likely
486,1407909930,ALABAMA DEPARTMENT OF MENTAL HEALTH AND MENTAL RETARDATION,AL,83038070.37,high,3,gev_extreme_value,High confidence; 3+ independent signals; Network or middleman billing pattern; Public entity; policy review likely
487,1821032913,NEW VISTA OF THE BLUEGRASS INC,KY,82730466.48,high,3,iqr_outlier,High confidence; 3+ independent signals
488,1518259035,ASTRA HOME CARE,NY,82712245.38,high,4,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
489,1063568764,"JHC OPERATIONS, LLC",TX,82641998.00,high,6,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
490,1336293000,COUNTY OF CHESTERFIELD VIRGINIA,VA,82489896.95,medium,2,gev_extreme_value,Public entity; policy review likely
491,1821011248,BEXAR COUNTY HOSPITAL DISTRICT,TX,82247743.16,high,8,isolation_forest,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern; Public entity; policy review likely
492,1023354933,"SOUTHWEST BROOKLYN HEALTH HOME, LLC",NY,82228264.46,high,5,code_concentration_per_provider,High confidence; 3+ independent signals; Sudden growth or stop pattern
493,1639160708,180 MEDICAL INC,OK,81908573.81,medium,2,iqr_outlier,Statistical outlier vs peers
494,1316061658,"KENTUCKY RIVER COMMUNITY CARE, INC",KY,81791795.41,high,3,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
495,1356583876,"EMPLOYMENT SPECIALISTS OF MAINE, INC.",ME,81759309.34,high,4,high_risk_category,High confidence; 3+ independent signals
496,1609024397,"BYRAM HEALTHCARE CENTERS, INC.",WA,81646433.39,medium,2,gev_extreme_value,Sudden growth or stop pattern
497,1821201278,TANANA CHIEFS CONFERENCE,AK,81571155.98,high,5,billing_only_provider,High confidence; 3+ independent signals; Network or middleman billing pattern; Sudden growth or stop pattern
498,1659435840,MEDICAL UNIVERSITY HOSPITAL AUTHORITY,SC,81351573.73,high,4,upcoding,High confidence; 3+ independent signals; Implausible volume or upcoding signal; Public entity; policy review likely
499,1699840967,"SELFHELP COMMUNITY SERVICES, INC",NY,81306354.09,high,3,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
500,1083743678,RESOURCES FOR HUMAN DEVELOPMENT INC.,DE,81146985.27,high,7,gev_extreme_value,High confidence; 3+ independent signals; Sudden growth or stop pattern
